Series Name,Series Code,Country Name,Country Code,1963 [YR1963],1964 [YR1964],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Sub-Saharan Africa (all income levels),SSF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.75746891717527,1.31484809833644,2.66180478874162,3.664635969311,3.23633575333569,2.88197974704359,..,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Sub-Saharan Africa (developing only),SSA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.79268604470008,1.33172011919931,2.70042440963326,3.73365569825438,3.27915176230176,2.91909102150966,..,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Sub-Saharan Africa excluding South Africa,SXZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.05100161891264,3.22249058901298,3.47403241262395,3.42224733616308,4.0113873190984,4.04184308787387,..,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Sub-Saharan Africa excluding South Africa and Nigeria,XZN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.53031622929049,3.26940295557535,3.61648733457403,3.41536254138256,3.96004177740773,4.79048175690826,..,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Sudan,SDN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.4881853450338,11.7937236314882,9.32777986402018,12.504246728208,10.5734739403214,9.43645861737274,4.77219051289752,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Swaziland,SWZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-0.921836524062593,4.12649016132676,0.469218797785764,3.76420345905885,1.8564832418069,3.38559490092136,..,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Tanzania,TZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.61523199935527,2.81231238706889,3.45612419541834,6.6775488745866,4.45817402737001,4.46349161070627,4.58822953072227,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Togo,TGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.34312314996496,4.16460056652792,1.97608453222934,1.25879348346844,0.351369959321799,1.5235637303099,..,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Tunisia,TUN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.20771215614511,9.42457727444577,3.90063136762082,5.81325904482305,3.49766084971704,3.0071329281213,0.931774713577445,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Uganda,UGA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.11166501671823,6.45734179869424,6.64908095680924,5.04722295853989,5.3252179645047,3.18245739989731,4.74094914899978,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Zambia,ZMB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.97230896091561,5.75386324979757,11.4708578962265,6.41085532499297,3.32088262102575,3.91533226292433,4.3293661080899,..
Foreign direct investment (% of GDP),BN.KLT.DINV.CD.ZS,Zimbabwe,ZWE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: Africa Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 02/22/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
